jovan123,123,jovan,petrovic,12345678,jovan123@email.com,admin,,False
ivan123,123,ivan,mijailovic,12345679,ivan123@email.com,admin,,False
dragan13,123,dragan,prodanovic,12345680,dragan13@email.com,recepcioner,138966,False
nikola52,123,nikola,ivancic,12345681,nikola52@email.com,recepcioner,524089,False
kristina85,123,kristina,misojcic,12345682,kristina85@email.com,recepcioner,851767,False
radovan74,123,radovan,jockovic,12345683,radovan74@email.com,recepcioner,742033,False
ivan82,123,ivan,bojicic,12345684,ivan82@email.com,recepcioner,828724,False
nikola24,123,nikola,makevic,12345685,nikola24@email.com,recepcioner,242657,False
gordana67,123,gordana,miric,12345686,gordana67@email.com,recepcioner,678071,False
mika41,123,miroslav,ilic,12345687,mika41@email.com,recepcioner,419791,False
pera1,123,petar,peric,12345678,pera1@email.com,korisnik,,False
milan2,123,milan,mitrovic,12345679,milan2@email.com,korisnik,,False
milica3,123,milica,karic,12345680,milica3@email.com,korisnik,,False
ivana4,123,ivana,jockovic,12345681,ivana4@email.com,korisnik,,False
petar5,123,Petar,komordzic,060123456,perapeki123@gmail.com,korisnik,,False
